Dataset,SR,numSubj,decimal,numExcObjTest,ThresholdObjTest,alpha
Benthien_&_Hesselmann_2021_E1-a,0.51,26,2,0,NA,
Benthien_&_Hesselmann_2021_E1-b,0.51,26,2,0,NA,
Biderman_&_Mudrik_2018_E1i,0.4958,45,4,2,0.65,
Biderman_&_Mudrik_2018_E2i,0.5031,45,4,0,0.65,
Biderman_&_Mudrik_2018_E3i,0.5011,45,4,6,0.65,
Biderman_&_Mudrik_2018_E1ii,0.523,45,4,2,0.65,
Biderman_&_Mudrik_2018_E2ii,0.515,45,4,0,0.65,
Biderman_&_Mudrik_2018_E3ii,0.527,45,4,6,0.65,
Biderman_et_al_2020_E1B,,24,,5,0.65,
Biderman_et_al_2020_E2,,24,,3,0.65,
Biderman_et_al_2020_E3B,,34,,0,0.65,
Biderman_et_al_2020_E4B-a,,34,,0,0.65,
Biderman_et_al_2020_E4B-b,,34,,0,0.65,
Faivre_et_al_2014_E1,0.533,17,3,9,0.65,
Faivre_et_al_2014_E2,0.516,22,3,6,0.65,
Faivre_et_al_2014_E3,0.472,21,3,0,0.65,
Faivre_et_al_2014_E4,0.5,22,3,0,0.65,
Faivre_et_al_2014_E6,0.522,17,3,1,0.65,
Faivre_et_al_2014_E8,0.503,21,3,0,0.65,
Hesselmann_et_al_2016_E1,0.4887,23,4,4,Chance,0.05
Hesselmann_et_al_2016_E2-a,0.5214,27,4,2,Chance,0.025
Hesselmann_et_al_2016_E2-b,0.5096,27,4,2,Chance,0.025
Karpinski_et_al_2018,,94,,53,0.6,
Skora_et_al_2020_E1,,36,,0,NA,
Skora_et_al_2020_E2,,19,,0,NA,
Stein_&_van_Peelen_2020_E3-a,,94,,0,NA,
Stein_&_van_Peelen_2020_E3-b,,94,,0,NA,
Stein_&_van_Peelen_2020_E3-c,,94,,0,NA,
Stein_&_van_Peelen_2020_E3-d,,94,,0,NA,
Stein_&_van_Peelen_2020_E3-e,,94,,0,NA,
Stein_&_van_Peelen_2020_E4A-a,,45,,0,NA,
Stein_&_van_Peelen_2020_E4A-b,,45,,0,NA,
Stein_&_van_Peelen_2020_E4A-c,,45,,0,NA,
Stein_&_van_Peelen_2020_E4A-d,,45,,0,NA,
Stein_&_van_Peelen_2020_E4B-a,,50,,0,NA,
Stein_&_van_Peelen_2020_E4B-b,,50,,0,NA,
Stein_&_van_Peelen_2020_E4B-c,,50,,0,NA,
Stein_&_van_Peelen_2020_E4B-d,,50,,0,NA,
Zerweck_et_al_2021_E1,0.541,18,3,0,NA,
Zerweck_et_al_2021_E2-a,,20,,0,NA,
Zerweck_et_al_2021_E2-b,,20,,0,NA,
Zerweck_et_al_2021_E2-c,,20,,0,NA,
Zerweck_et_al_2021_E2-d,,20,,0,NA,
Zerweck_et_al_2021_E2-e,,20,,0,NA,
Zerweck_et_al_2021_E2-f,,20,,0,NA,
Zerweck_et_al_2021_E2-g,,20,,0,NA,
Zerweck_et_al_2021_E2-h,,20,,0,NA,
Zerweck_et_al_2021_E3i-a,,13,,0,NA,
Zerweck_et_al_2021_E3i-b,,11,,0,NA,
Zerweck_et_al_2021_E3i-c,,12,,0,NA,
Zerweck_et_al_2021_E3i-d,,15,,0,NA,
Zerweck_et_al_2021_E3i-e,,16,,0,NA,
Zerweck_et_al_2021_E3i-f,,12,,0,NA,
Zerweck_et_al_2021_E3i-g,,16,,0,NA,
Zerweck_et_al_2021_E3i-h,,12,,0,NA,
Zerweck_et_al_2021_E3ii-a,,,,0,NA,
Zerweck_et_al_2021_E3ii-b,,,,0,NA,
Zerweck_et_al_2021_E3ii-c,,,,0,NA,
Zerweck_et_al_2021_E3ii-d,,,,0,NA,
Zerweck_et_al_2021_E3ii-e,,,,0,NA,
Zerweck_et_al_2021_E3ii-f,,,,0,NA,
Zerweck_et_al_2021_E3ii-g,,,,0,NA,
Zerweck_et_al_2021_E3ii-h,,,,0,NA,
van_Gaal_et_al_2014_E4,0.531,16,3,0,NA,
Sklar_et_al_2012_E6,,17,,21,Chance,0.05
Sklar_et_al_2012_E7,,30,,30,Chance,0.05
Sklar_et_al_2012_E9,,33,,7,Chance,0.05
van_Opstal_et_al_2010_E1,0.52,22,2,0,NA,
van_Opstal_et_al_2010_E2,0.58,21,2,0,NA,
van_Opstal_et_al_2010_E3,0.51,16,2,0,NA,
van_Opstal_et_al_2011a_E1,0.483,22,3,0,NA,
van_Opstal_et_al_2011a_E2,0.498,24,3,0,NA,
van_Opstal_et_al_2011b,0.51,19,2,0,NA,
van_Opstal_&_Rooyakkers_2022_E1-a,0.5,30,1,0,NA,
van_Opstal_&_Rooyakkers_2022_E1-b,0.51,30,2,0,NA,
van_Opstal_&_Rooyakkers_2022_E1-c,0.51,30,2,0,NA,
van_Opstal_&_Rooyakkers_2022_E2-a,0.531,20,3,0,NA,
van_Opstal_&_Rooyakkers_2022_E2-b,0.541,20,3,0,NA,
van_Opstal_&_Rooyakkers_2022_E2-c,0.503,20,3,0,NA,
