d_prime,acc
-0.24778,0.45
-0.373,0.42683
0.14133,0.52564
-0.06482,0.48718
0.066496,0.51282
0.077727,0.5119
-0.11484,0.48718
-0.1287,0.47436
0.69796,0.55696
0.21576,0.525
0.2176,0.52564
0.46287,0.58974
0.15205,0.52564
0.19352,0.53846
-0.45776,0.41026
0.10017,0.51948
-0.29841,0.44156
-0.27552,0.44872
0.44736,0.58442
-0.19195,0.4625
-0.06482,0.48718
-0.13735,0.47436
-0.066496,0.48718
0.60571,0.59494
0,0.5
0.51464,0.6
0.13684,0.52632
0.32276,0.5641
-0.13033,0.47436
0.24778,0.55
-0.29519,0.44156
0.15774,0.51899
-0.29849,0.44304
0.93313,0.67949
